home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Leverkusen,St Pauli,2,2,draw,1988-1989,1.8571428571428572,1.2857142857142858,3,3,1,7,0.42857142857142855,1.0,1.0,2,3,2,7,0.2857142857142857
Dortmund,Hannover 96,4,0,win,1988-1989,0.8333333333333334,0.8333333333333334,1,3,2,6,0.16666666666666666,1.2857142857142858,2.0,0,3,4,7,0.0
Kaiserslautern,Köln,1,1,draw,1988-1989,1.4285714285714286,1.5714285714285714,1,4,2,7,0.14285714285714285,1.5714285714285714,1.0,3,1,3,7,0.42857142857142855
Werder Bremen,Bayern Munich,2,2,draw,1988-1989,1.5,1.5,2,3,1,6,0.3333333333333333,2.5,0.6666666666666666,4,2,0,6,0.6666666666666666
Hamburger SV,Uerdingen,3,0,win,1988-1989,1.0,1.2857142857142858,2,2,3,7,0.2857142857142857,1.4285714285714286,0.7142857142857143,3,4,0,7,0.42857142857142855
Nürnberg,Hamburger SV,1,4,loss,1988-1989,1.0,1.75,3,0,5,8,0.375,1.25,1.125,3,2,3,8,0.375
Dortmund,S'gart Kickers,1,1,draw,1988-1989,1.2857142857142858,0.7142857142857143,2,3,2,7,0.2857142857142857,1.0,2.5,2,1,5,8,0.25
Hamburger SV,Bochum,3,1,win,1988-1989,1.5555555555555556,1.1111111111111112,4,2,3,9,0.4444444444444444,1.25,1.125,3,3,2,8,0.375
Kaiserslautern,Nürnberg,2,1,win,1988-1989,1.375,1.5,1,5,2,8,0.125,1.0,2.0,3,0,6,9,0.3333333333333333
Werder Bremen,St Pauli,0,0,draw,1988-1989,1.5714285714285714,1.5714285714285714,2,4,1,7,0.2857142857142857,1.125,1.125,2,4,2,8,0.25
Karlsruher,Mannheim,2,1,win,1988-1989,2.0,2.125,4,1,3,8,0.5,1.0,1.125,1,5,2,8,0.125
Hannover 96,Bayern Munich,0,0,draw,1988-1989,1.125,2.25,0,3,5,8,0.0,2.4285714285714284,0.8571428571428571,4,3,0,7,0.5714285714285714
Stuttgart,Eint Frankfurt,2,0,win,1988-1989,2.142857142857143,0.5714285714285714,5,1,1,7,0.7142857142857143,0.5,1.5,2,1,5,8,0.25
Leverkusen,Uerdingen,2,2,draw,1988-1989,1.875,1.375,3,4,1,8,0.375,1.25,1.0,3,4,1,8,0.375
Gladbach,Köln,1,0,win,1988-1989,1.625,1.625,3,2,3,8,0.375,1.5,1.0,3,2,3,8,0.375
Bayern Munich,Dortmund,1,1,draw,1988-1989,2.125,0.75,4,4,0,8,0.5,1.25,0.75,2,4,2,8,0.25
St Pauli,Gladbach,1,1,draw,1988-1989,1.0,1.0,2,5,2,9,0.2222222222222222,1.5555555555555556,1.4444444444444444,4,2,3,9,0.4444444444444444
S'gart Kickers,Hannover 96,0,1,loss,1988-1989,1.0,2.3333333333333335,2,2,5,9,0.2222222222222222,1.0,2.0,0,4,5,9,0.0
Köln,Werder Bremen,2,0,win,1988-1989,1.3333333333333333,1.0,3,2,4,9,0.3333333333333333,1.375,1.375,2,5,1,8,0.25
Uerdingen,Gladbach,0,0,draw,1988-1989,1.3333333333333333,1.1111111111111112,3,5,1,9,0.3333333333333333,1.5,1.4,4,3,3,10,0.4
Karlsruher,Stuttgart,2,0,win,1988-1989,2.0,2.0,5,1,3,9,0.5555555555555556,2.125,0.5,6,1,1,8,0.75
Mannheim,Bayern Munich,0,3,loss,1988-1989,1.0,1.2222222222222223,1,5,3,9,0.1111111111111111,2.0,0.7777777777777778,4,5,0,9,0.4444444444444444
Nürnberg,Leverkusen,1,1,draw,1988-1989,1.0,2.0,3,0,7,10,0.3,1.8888888888888888,1.4444444444444444,3,5,1,9,0.3333333333333333
Bochum,Kaiserslautern,2,0,win,1988-1989,1.2222222222222223,1.3333333333333333,3,3,3,9,0.3333333333333333,1.4444444444444444,1.4444444444444444,2,5,2,9,0.2222222222222222
Eint Frankfurt,Hamburger SV,0,1,loss,1988-1989,0.4444444444444444,1.5555555555555556,2,1,6,9,0.2222222222222222,1.7,1.1,5,2,3,10,0.5
St Pauli,Dortmund,1,0,win,1988-1989,1.0,1.0,2,6,2,10,0.2,1.2222222222222223,0.7777777777777778,2,5,2,9,0.2222222222222222
Leverkusen,Bochum,1,1,draw,1988-1989,1.8,1.4,3,6,1,10,0.3,1.3,1.2,4,3,3,10,0.4
Bayern Munich,S'gart Kickers,3,0,win,1988-1989,2.1,0.7,5,5,0,10,0.5,0.9,2.2,2,2,6,10,0.2
Dortmund,Köln,0,4,loss,1988-1989,1.1,0.8,2,5,3,10,0.2,1.4,0.9,4,2,4,10,0.4
Gladbach,Nürnberg,1,1,draw,1988-1989,1.3636363636363635,1.2727272727272727,4,4,3,11,0.36363636363636365,1.0,1.9090909090909092,3,1,7,11,0.2727272727272727
Werder Bremen,Uerdingen,3,1,win,1988-1989,1.2222222222222223,1.4444444444444444,2,5,2,9,0.2222222222222222,1.2,1.0,3,6,1,10,0.3
Hannover 96,St Pauli,2,2,draw,1988-1989,1.0,1.8,1,4,5,10,0.1,1.0,0.9090909090909091,3,6,2,11,0.2727272727272727
Hamburger SV,Karlsruher,1,1,draw,1988-1989,1.6363636363636365,1.0,6,2,3,11,0.5454545454545454,2.0,1.8,6,1,3,10,0.6
Stuttgart,Mannheim,2,0,win,1988-1989,1.8888888888888888,0.6666666666666666,6,1,2,9,0.6666666666666666,0.9,1.4,1,5,4,10,0.1
Kaiserslautern,Eint Frankfurt,3,0,win,1988-1989,1.3,1.5,2,5,3,10,0.2,0.4,1.5,2,1,7,10,0.2
Bochum,Stuttgart,1,0,win,1988-1989,1.2727272727272727,1.1818181818181819,4,4,3,11,0.36363636363636365,1.9,0.6,7,1,2,10,0.7
