home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
Sweden se,eng England,2006-06-20,45000.0,RheinEnergieSTADION (Neutral Site),,played,2.0,2.0,2006,1.0,1.0,0.56,1.4,0.0,0.19047619047619047,draw
Ecuador ec,de Germany,2006-06-20,72000.0,Olympiastadion Berlin (Neutral Site),,played,0.0,3.0,2006,2.0,0.0,1.0,1.8,2.4,0.2222222222222222,loss
Costa Rica cr,pl Poland,2006-06-20,43000.0,HDI-Arena (Neutral Site),,played,1.0,2.0,2006,1.4,2.4,0.3333333333333333,0.0,2.4,0.2222222222222222,loss
Costa Rica cr,pl Poland,2006-06-20,43000.0,HDI-Arena (Neutral Site),,played,1.0,2.0,2006,1.4,2.8,0.2857142857142857,0.4,2.2,0.25,loss
Ecuador ec,de Germany,2006-06-20,72000.0,Olympiastadion Berlin (Neutral Site),,played,0.0,3.0,2006,1.6,0.6,0.8,1.8,0.8,0.3,loss
Paraguay py,tt Trin & Tobago,2006-06-20,46000.0,Fritz-Walter-Stadion (Neutral Site),,played,2.0,0.0,2006,1.2,0.8,0.4666666666666667,0.0,2.0,0.0,win
Sweden se,eng England,2006-06-20,45000.0,RheinEnergieSTADION (Neutral Site),,played,2.0,2.0,2006,1.2,1.2,0.5490196078431373,1.6,0.4,0.18604651162790697,draw
IR Iran ir,ao Angola,2006-06-21,38000.0,Red Bull Arena (Neutral Site),,played,1.0,1.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,draw
Côte d'Ivoire ci,rs Serbia & Montenegro,2006-06-21,66000.0,Allianz Arena (Neutral Site),,played,3.0,2.0,2006,0.0,0.0,0.0,0.0,6.0,0.0,win
IR Iran ir,ao Angola,2006-06-21,38000.0,Red Bull Arena (Neutral Site),,played,1.0,1.0,2006,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,draw
Côte d'Ivoire ci,rs Serbia & Montenegro,2006-06-21,66000.0,Allianz Arena (Neutral Site),,played,3.0,2.0,2006,3.0,2.0,1.0,0.6666666666666666,5.0,0.0,win
Netherlands nl,ar Argentina,2006-06-21,48000.0,Commerzbank-Arena (Neutral Site),,played,0.0,0.0,2006,1.6,1.4,0.5789473684210527,1.2,1.8,0.06060606060606061,draw
Portugal pt,mx Mexico,2006-06-21,52000.0,Veltins-Arena (Neutral Site),,played,2.0,1.0,2006,1.6,0.4,0.8,1.2,1.2,0.14285714285714285,win
Portugal pt,mx Mexico,2006-06-21,52000.0,Veltins-Arena (Neutral Site),,played,2.0,1.0,2006,1.2,0.6,0.8095238095238095,1.0,1.2,0.14035087719298245,win
Netherlands nl,ar Argentina,2006-06-21,48000.0,Commerzbank-Arena (Neutral Site),,played,0.0,0.0,2006,1.2,1.2,0.5641025641025641,0.8,1.2,0.058823529411764705,draw
Croatia hr,au Australia,2006-06-22,52000.0,Mercedes-Benz Arena (Neutral Site),,played,2.0,2.0,2006,0.0,1.0,0.0,0.0,2.0,0.0,draw
Japan jp,br Brazil,2006-06-22,65000.0,Signal Iduna Park (Neutral Site),,played,1.0,4.0,2006,0.2,0.4,0.16666666666666666,2.6,0.8,0.47619047619047616,loss
Ghana gh,us United States,2006-06-22,41000.0,Max-Morlock-Stadion (Neutral Site),,played,2.0,1.0,2006,0.0,0.0,0.0,0.8,0.8,0.08,win
Czechia cz,it Italy,2006-06-22,50000.0,Volksparkstadion (Neutral Site),,played,0.0,2.0,2006,0.0,2.0,0.0,1.2,1.4,0.19047619047619047,loss
Ghana gh,us United States,2006-06-22,41000.0,Max-Morlock-Stadion (Neutral Site),,played,2.0,1.0,2006,2.0,1.0,1.0,0.6,1.2,0.07692307692307693,win
Czechia cz,it Italy,2006-06-22,50000.0,Volksparkstadion (Neutral Site),,played,0.0,2.0,2006,0.0,2.0,0.0,1.2,1.2,0.20930232558139536,loss
Japan jp,br Brazil,2006-06-22,65000.0,Signal Iduna Park (Neutral Site),,played,1.0,4.0,2006,0.2,1.2,0.15384615384615385,2.4,0.6,0.4883720930232558,loss
Croatia hr,au Australia,2006-06-22,52000.0,Mercedes-Benz Arena (Neutral Site),,played,2.0,2.0,2006,0.6666666666666666,1.3333333333333333,0.0,0.4,2.0,0.0,draw
Ukraine ua,tn Tunisia,2006-06-23,72000.0,Olympiastadion Berlin (Neutral Site),,played,1.0,0.0,2006,0.0,0.0,0.0,0.6,2.2,0.0,win
Togo tg,fr France,2006-06-23,45000.0,RheinEnergieSTADION (Neutral Site),,played,0.0,2.0,2006,0.0,2.0,0.0,1.6,0.8,0.2777777777777778,loss
Saudi Arabia sa,es Spain,2006-06-23,46000.0,Fritz-Walter-Stadion (Neutral Site),,played,0.0,1.0,2006,0.0,3.0,0.2,2.2,1.8,0.3181818181818182,loss
Switzerland ch,kr Korea Republic,2006-06-23,43000.0,HDI-Arena (Neutral Site),,played,2.0,0.0,2006,2.8,3.8,0.5333333333333333,0.6,0.8,0.09090909090909091,win
Togo tg,fr France,2006-06-23,45000.0,RheinEnergieSTADION (Neutral Site),,played,0.0,2.0,2006,0.0,2.0,0.0,1.6,0.8,0.2972972972972973,loss
Switzerland ch,kr Korea Republic,2006-06-23,43000.0,HDI-Arena (Neutral Site),,played,2.0,0.0,2006,2.4,3.6,0.5625,0.4,1.2,0.08695652173913043,win
Ukraine ua,tn Tunisia,2006-06-23,72000.0,Olympiastadion Berlin (Neutral Site),,played,1.0,0.0,2006,1.0,0.0,1.0,0.4,2.2,0.0,win
Saudi Arabia sa,es Spain,2006-06-23,46000.0,Fritz-Walter-Stadion (Neutral Site),,played,0.0,1.0,2006,0.0,3.0,0.18181818181818182,1.8,1.6,0.3333333333333333,loss
Germany de,se Sweden,2006-06-24,66000.0,Allianz Arena (Neutral Site),,played,2.0,0.0,2006,2.0,1.2,0.7872340425531915,1.0,0.6,0.06451612903225806,win
Germany de,se Sweden,2006-06-24,66000.0,Allianz Arena (Neutral Site),,played,2.0,0.0,2006,2.4,0.8,0.7916666666666666,0.4,0.8,0.0625,win
Argentina ar,mx Mexico,2006-06-24,43000.0,Red Bull Arena (Neutral Site),,played,2.0,1.0,2006,3.2,0.6,0.7380952380952381,1.0,1.2,0.13793103448275862,win
Argentina ar,mx Mexico,2006-06-24,43000.0,Red Bull Arena (Neutral Site),,played,2.0,1.0,2006,3.6,0.6,0.7411764705882353,1.0,1.2,0.13559322033898305,win
Portugal pt,nl Netherlands,2006-06-25,41000.0,Max-Morlock-Stadion (Neutral Site),,played,1.0,0.0,2006,1.6,0.6,0.8181818181818182,1.2,0.6,0.38461538461538464,win
Portugal pt,nl Netherlands,2006-06-25,41000.0,Max-Morlock-Stadion (Neutral Site),,played,1.0,0.0,2006,1.8,0.4,0.8260869565217391,1.2,0.6,0.37037037037037035,win
